"Tenor","SW_zero_pct","EIOPA_zero_pct","delta_bps"
1,2.076,2.076,0
2,2.163,2.163,0
3,2.283,2.283,0
4,2.386,2.386,0
5,2.479,2.479,0
6,2.565,2.565,0
7,2.651,2.651,0
8,2.724,2.724,0
9,2.793,2.793,0
10,2.863,2.863,0
11,2.921,2.921,0
12,2.975,2.975,0
13,3.033,3.033,0
15,3.107,3.107,0
20,3.209,3.209,0
