"Tenor","SW_zero_pct","EIOPA_zero_pct","delta_bps"
1,2.0725,2.076,-0.35
2,2.163,2.163,0
3,2.2849,2.283,0.19
4,2.3873,2.386,0.13
5,2.4787,2.479,-0.03
6,2.5648,2.565,-0.02
7,2.6488,2.651,-0.22
8,2.7262,2.724,0.22
9,2.8014,2.793,0.84
10,2.8628,2.863,-0.02
11,2.9229,2.921,0.19
12,2.9793,2.975,0.43
13,3.0269,3.033,-0.61
15,3.111,3.107,0.4
20,3.2093,3.209,0.03
