"Tenor","boot_zero_pct","EIOPA_new_pct","delta_bps"
1,2.0725,2.076,-0.35
2,2.163,2.163,-0.01
3,2.2849,2.2829,0.21
4,2.3873,2.3863,0.1
5,2.4787,2.4788,0
6,2.5648,2.5649,0
7,2.6488,2.651,-0.22
8,2.7262,2.724,0.23
9,2.8014,2.7925,0.89
10,2.8628,2.8631,-0.03
11,2.9229,2.9208,0.21
12,2.9793,2.9748,0.45
13,3.0269,3.0333,-0.64
15,3.111,3.1075,0.36
20,3.21,3.2099,0
