tenor,discount_factor,rc,rann,fwd_c,fwd_ann
1,0.97966221246914,0.0205474478876601,0.0207600000000001,0.0205474478876601,0.0207600000000001
2,0.958103566101524,0.0213997001382902,0.0216303158189828,0.0222519523889203,0.0225013736827406
3,0.934526106480264,0.0225719053894207,0.0228285784075415,0.0249163158916816,0.0252293215328785
4,0.909981884289693,0.0235826467608398,0.0238629162035526,0.0266148708750972,0.026972209682756
5,0.88477067272539,0.0244853588834681,0.0247875869628791,0.028096207373981,0.0284946284291319
6,0.859029844938515,0.0253252689641283,0.0256486779565863,0.0295248193674295,0.0299649982343952
7,0.832638674844143,0.0261650706586405,0.0265103812336003,0.0312038808257137,0.0316958254423045
8,0.806538218140298,0.0268754993611153,0.027239902777656,0.0318485002784389,0.0323610910392158
9,0.780452268027847,0.0275424107256107,0.0279252092368141,0.0328777016415737,0.0334241454360407
10,0.75405775090644,0.0282286321193142,0.0286308355867781,0.0344046246626461,0.0350033098786922
11,0.728558670946451,0.0287897381767271,0.0292081685368282,0.0344007987508564,0.0349993500549015
12,0.703443292244906,0.0293140011429342,0.0297478857286158,0.0350808937712113,0.0357034873719455
13,0.678093284865383,0.0298823394007014,0.030333297188037,0.0367023984939084,0.0373842477802373
14,0.654593355408903,0.030267219112808,0.0307299278934923,0.0352706553701933,0.0359000427705238
15,0.63190783703241,0.030600781529967,0.0310737980075635,0.0352706553701935,0.0359000427705241
16,0.610452065562121,0.0308472190751085,0.0313279246150868,0.0345437822522317,0.0351473484663067
17,0.589724802431826,0.0310646639678805,0.0315522059886033,0.0345437822522316,0.0351473484663067
18,0.569701311900738,0.0312579483170111,0.0317516081553702,0.0345437822522315,0.0351473484663067
19,0.55035769810435,0.0314308869451806,0.0319300532926803,0.0345437822522318,0.035147348466307
20,0.531670876537307,0.0315865317105332,0.0320906803037377,0.0345437822522315,0.0351473484663067
21,0.514792648020863,0.0316186230759951,0.032123802034407,0.0322604503852342,0.0327864599102812
22,0.498439495430079,0.0316487759184634,0.0321549239700227,0.032271217997766,0.032797580614581
23,0.482596514668142,0.031677145556792,0.0321842062472766,0.0322812378651843,0.0328079291612542
24,0.467249030371888,0.0317038711595487,0.0322117923609706,0.0322905684046264,0.032817565861331
25,0.452382621253737,0.031729078001461,0.0322378114883692,0.0322992631651722,0.0328265460017938
26,0.437983140343422,0.0317528792966599,0.0322623803776205,0.0323073712504156,0.0328349202814202
27,0.424036730852235,0.0317753777086595,0.0322856049032025,0.0323149377033062,0.0328427352077538
28,0.410529838287306,0.0317966666094382,0.032307581362947,0.0323220038567007,0.0328500334587385
29,0.397449219360339,0.0318168311408746,0.0323283975714974,0.0323286076527446,0.0328568542122247
30,0.384781948162808,0.0318359491183272,0.0323481337911835,0.0323347839339153,0.0328632334462653
31,0.372515420016473,0.0318540918065141,0.0323668635313785,0.0323405647082976,0.0328692042128436
32,0.360637353353161,0.0318713245908676,0.0323846542402027,0.0323459793914249,0.0328747968874374
33,0.349135789929908,0.0318877075623974,0.0324015679071488,0.0323510550268038,0.0328800393966031
34,0.337999093644009,0.031903296030274,0.0324176615912632,0.0323558164870465,0.0328849574255548
35,0.327215948176379,0.0319181409734576,0.0324329878865501,0.0323602866573569,0.032889574607545
36,0.316775353660218,0.0319322894404996,0.0324475953339887,0.0323644866029577,0.0328939126966801
37,0.306666622544757,0.0319457849049449,0.032461528787822,0.0323684357218999,0.0328979917256502
38,0.296879374800174,0.0319586675824421,0.0324748297424016,0.0323721518845632,0.0329018301497341
39,0.287403532589276,0.0319709747146253,0.0324875366247994,0.032375651561038,0.0329054449782953
40,0.278229314513761,0.0319827408240017,0.032499685057555,0.0323789499374703,0.0329088518948903
41,0.269347229527428,0.0319939979434161,0.0325113080952257,0.0323820610223522,0.0329120653670028
42,0.260748070595401,0.0320047758231192,0.0325224364378662,0.0323849977436519,0.0329150987463198
43,0.252422908166835,0.0320151021180312,0.0325330986240986,0.0323877720375947,0.0329179643603967
44,0.244363083518596,0.0320250025574255,0.0325433212060682,0.0323903949298358,0.0329206735964642
45,0.23656020201875,0.0320345010989563,0.0325531289082663,0.0323928766096949,0.0329232369780765
46,0.229006126351216,0.0320436200687032,0.0325625447719422,0.0323952264980648,0.03292566423523
47,0.221692969736508,0.0320523802886923,0.0325715902866073,0.032397453309551,0.0329279643685245
48,0.214613089177886,0.0320608011931744,0.0325802855099508,0.0323995651093467,0.0329301457078921
49,0.207759078757451,0.0320689009347865,0.0325886491773288,0.0324015693653061,0.0329322159663668
50,0.201123763002582,0.0320766964815928,0.0325966988018509,0.0324034729956326,0.0329341822893299
51,0.194700190339539,0.0320842037058873,0.0326044507659722,0.0324052824125674,0.0329360512996229
52,0.188481626647988,0.0320914374655418,0.0326119204054041,0.0324070035624222,0.0329378291388875
53,0.182461548927583,0.0320984116785996,0.0326191220860559,0.0324086419622763,0.0329395215054624
54,0.176633639085482,0.0321051393917386,0.0326260692746605,0.0324102027336242,0.0329411336891299
55,0.170991777851716,0.0321116328431635,0.0326327746036517,0.032411690633238,0.0329426706029869
56,0.165530038827716,0.0321179035204295,0.0326392499308179,0.0324131100814831,0.0329441368126888
57,0.16024268267185,0.0321239622136496,0.0326455063941933,0.0324144651883072,0.0329455365632858
58,0.155124151424656,0.0321298190644907,0.0326515544626071,0.0324157597770999,0.0329468738038665
59,0.150169062975409,0.0321354836113271,0.0326574039822707,0.032416997406606,0.0329481522101869
60,0.145372205670819,0.0321409648308823,0.0326630642197396,0.0324181813910569,0.0329493752054617
61,0.14072853306591,0.0321462711766595,0.0326685439015682,0.0324193148186724,0.0329505459794723
62,0.136233158816531,0.0321514106144322,0.0326738512509279,0.0324204005686699,0.0329516675061341
63,0.131881351712428,0.0321563906550426,0.03267899402145,0.0324214413269075,0.0329527425596505
64,0.127668530849392,0.0321612183847304,0.0326839795285216,0.0324224396002747,0.0329537737293777
65,0.12359026093864,0.0321659004931978,0.0326888146782458,0.0324233977299376,0.0329547634335028
66,0.119642247751303,0.0321704432995932,0.0326935059942532,0.0324243179035323,0.0329557139316379
67,0.11582033369565,0.0321748527765858,0.0326980596425481,0.0324252021663954,0.0329566273364188
68,0.112120493524528,0.0321791345726824,0.0327024814545354,0.0324260524319112,0.0329575056241918
69,0.108538830170309,0.0321832940329278,0.032706776948386,0.0324268704910481,0.032958350644863
70,0.105071570704554,0.0321873362181184,0.0327109513488626,0.0324276580211524,0.032959164130981
71,0.101715062419519,0.0321912659226433,0.0327150096057349,0.032428416594059,0.0329599477061135
72,0.0984657690285737,0.0321950876910639,0.0327189564108881,0.0324291476835757,0.0329607028925787
73,0.0953202669825539,0.0321988058335272,0.0327227962142309,0.0324298526723928,0.0329614311185793
74,0.0922752418990817,0.0322024244401038,0.0327265332384945,0.0324305328584632,0.032962133724795
75,0.08932748510186,0.0322059473941336,0.0327301714930053,0.0324311894608974,0.032962811970469
