"Tenor","boot_zero_pct","EIOPA_new_pct","delta_bps"
1,2.076,2.076,0
2,2.163,2.163,0
3,2.2829,2.2829,0
4,2.3863,2.3863,0
5,2.4788,2.4788,0
6,2.5649,2.5649,0
7,2.651,2.651,0
8,2.724,2.724,0
9,2.7925,2.7925,0
10,2.8631,2.8631,0
11,2.9208,2.9208,0
12,2.9748,2.9748,0
13,3.0333,3.0333,0
15,3.1074,3.1075,-0.01
20,3.2091,3.2099,-0.09
