"Data","zip","alpha_crit","alpha_uff","RMSE_liq","RMSE_ext","max_diff"
"2025-12-31","EIOPA_RFR_20251231.zip",0.05,0.07363,23.31,10.2,25.35
"2026-01-30","EIOPA_RFR_20260131.zip",0.05,0.05,22.73,6.96,26.38
"2026-02-27","EIOPA_RFR_20260228.zip",0.06233,0.05292,21.48,6.31,26.3
"2026-03-31","EIOPA_RFR_20260331.zip",0.07733,0.06983,22.85,5.77,32.7
"2026-04-30","EIOPA_RFR_20260430.zip",0.06183,0.06924,22.39,4.52,30.55
"2026-05-29","EIOPA_RFR_20260531.zip",0.05,0.05998,23.13,4.69,30.27
